gamename,avg,gain,peak,avg_peak_perc
THE KING OF FIGHTERS XIII STEAM EDITION,197.39,9.2,393,50.2265%
Murder Miners,11.13,-2.22,45,24.7333%
OLDTV,3.47,0.63,12,28.9167%
Stronghold Crusader 2,489.93,-0.05,1141,42.9387%
MechWarrior Online,739.5,24.59,1346,54.9406%
Garfield Kart,80.5,-4.31,110,73.1818%
Domina,113.48,52.38,210,54.0381%
"Cook, Serve, Delicious!",18.43,-5.02,39,47.2564%
System Shock 2,27.65,-0.23,59,46.8644%
Furi,38.32,-9.5,90,42.5778%
PRICE,1.98,0.13,13,15.2308%
Comedy Night,28.49,-3.97,91,31.3077%
Victor Vran,31.53,-5.47,85,37.0941%
Melody's Escape,4.8,-0.23,14,34.2857%
Planetbase,218.29,-11.16,404,54.0322%
NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,34.61,-6.49,97,35.6804%
Baldur's Gate: Enhanced Edition,562.26,-34.42,1059,53.0935%
Stories: The Path of Destinies,11.91,0.75,84,14.1786%
Jazzpunk: Director's Cut,9.39,-2.52,29,32.3793%
Grim Fandango Remastered,22.15,-3.31,57,38.8596%
<U+6771><U+65B9><U+5929><U+7A7A><U+748B> ~ Hidden Star in Four Seasons.,5.87,-0.11,18,32.6111%
Poly Bridge,139.03,-97.03,209,66.5215%
SteamWorld Dig,11.21,-1.67,35,32.0286%
I am Bread,6.39,-0.89,21,30.4286%
Enclave,35.67,-27.37,300,11.89%
EVERSPACE,135.31,-40.52,291,46.4983%
Late Shift,28.79,13.32,284,10.1373%
BEEP,2.08,-0.03,7,29.7143%
Fable Anniversary,195.66,-24.21,521,37.5547%
Valley,5.3,-0.52,21,25.2381%
Farm Together,1409.22,18,2579,54.6421%
Atlas Reactor,1.4,0.71,3,46.6667%
Wizard of Legend,186.86,-52.43,370,50.5027%
Distance,25.31,-3.51,54,46.8704%
From The Depths,506.02,-78.9,829,61.0398%
Return of the Obra Dinn,110.79,-26.02,310,35.7387%
DOOM 3: BFG Edition,75.95,-10.79,162,46.8827%
Serious Sam HD: The First Encounter,32.46,-11.91,89,36.4719%
War for the Overworld,106.07,-17.01,245,43.2939%
Polarity,1.1,-0.11,4,27.5%
SURVIVAL: Postapocalypse Now,19.08,-4.06,56,34.0714%
Max Payne,49.33,-13.98,118,41.8051%
The Tiny Bang Story,28.54,-12.96,81,35.2346%
Worms Revolution,109.1,-31.05,336,32.4702%
Among the Sleep,13.23,-6.53,31,42.6774%
State of Decay: Year-One,146.36,-71.64,304,48.1447%
Dungeons of Dredmor,57.78,25.07,147,39.3061%
FINAL FANTASY IX,227.23,-52.05,430,52.8442%
BATTALION 1944,3.72,-1.32,15,24.8%
TOXIKK,46.99,4.54,106,44.3302%
Darkwood,122.57,-86.36,242,50.6488%
Grow Home,7.52,0.4,21,35.8095%
Time Clickers,246.68,-6.06,321,76.8474%
Risen,113.02,-4.3,263,42.9734%
Planet Explorers,23.57,0.88,39,60.4359%
Morphopolis,1.05,0.28,5,21%
"Pirates, Vikings, & Knights II",23.32,-0.3,64,36.4375%
Castlevania: Lords of Shadow - Ultimate Edition,35.29,-2.61,81,43.5679%
Torchlight,43.37,-7.06,80,54.2125%
Woodle Tree Adventures,2.02,-1.15,7,28.8571%
Half-Life: Blue Shift,53.95,-12.83,98,55.051%
Meadow,18,-1.96,48,37.5%
Aragami,46.14,-17.03,144,32.0417%
Bomber Crew,164.37,-443.31,716,22.9567%
Gothic II: Gold Edition,293.38,-13.98,665,44.1173%
Bloons TD5,267.93,-62.47,475,56.4063%
Turbo Dismount,18.72,-6.52,39,48%
Lost Lands: A Hidden Object Adventure,40.66,-3.21,75,54.2133%
Audiosurf 2,23.92,-1.39,51,46.902%
DiRT 4,382.6,41.45,779,49.1142%
Euro Truck Simulator,19.58,0.02,59,33.1864%
Lost Lands: Mahjong,54.5,2,89,61.236%
Half-Life: Source,45.38,-19.32,87,52.1609%
Marie's Room,3.13,0.1,11,28.4545%
Crawl,20.03,-6.21,54,37.0926%
Jalopy,45.44,8.67,102,44.549%
Plantera,29.89,8.24,111,26.9279%
Blockland,30.49,-0.12,80,38.1125%
The Ultimate DOOM,76.3,-12.89,172,44.3605%
Prototype,65.33,-2.28,178,36.7022%
SpaceChem,18.18,-3.44,40,45.45%
ENSLAVED: Odyssey to the West Premium Edition,10.95,-1.18,28,39.1071%
Strife,1.74,0.05,5,34.8%
Injustice 2,254.44,11.48,576,44.1736%
DRAGON QUEST® XI: Echoes of an Elusive Age,121.79,-11.28,230,52.9522%
Vindictus,304.24,-31.24,536,56.7612%
Viscera Cleanup Detail: Santa's Rampage,17.11,-8.73,42,40.7381%
Secrets of Grindea,52.99,-8.06,91,58.2308%
Soda Dungeon,88.15,-6.41,119,74.0756%
Trine 3: The Artifacts of Power,24.95,-11.22,83,30.0602%
Magic 2014,30.93,-0.51,53,58.3585%
Boring Man - Online Tactical Stickman Combat,42,10.13,96,43.75%
The Flame in the Flood,19.25,1.26,42,45.8333%
Epistory - Typing Chronicles,14.95,1.54,44,33.9773%
DUSK,71.15,-12.56,174,40.8908%
Alan Wake's American Nightmare,10.06,0.26,24,41.9167%
Mordheim: City of the Damned,154.01,-6.19,277,55.5993%
Soul at Stake - 1v4,180.48,49.36,485,37.2124%
Reus,13.68,-1.8,31,44.129%
Sword With Sauce,14.88,0.3,30,49.6%
"Invisible, Inc.",51.78,2.56,103,50.2718%
klocki,2.99,0.39,9,33.2222%
Titan Souls,21.34,-2.27,96,22.2292%
Crash Bandicoot N. Sane Trilogy,187.94,-107.23,382,49.199%
Worm.is: The Game,19.14,-1.51,56,34.1786%
Freedom Planet,5.41,-0.3,16,33.8125%
Owlboy,11.92,-2.26,34,35.0588%
911 Operator,116.43,5.52,267,43.6067%
Botanicula,9.85,-1.95,35,28.1429%
Worms Armageddon,212.38,-54.82,575,36.9357%
Home Behind,82.62,-53.22,218,37.8991%
Dead Island Definitive Edition,341.05,-22.35,1331,25.6236%
BRINK,15.56,0.35,35,44.4571%
Shadowrun: Dragonfall - Director's Cut,64.05,-15.64,139,46.0791%
Zup! 3,5.77,-0.06,21,27.4762%
"Warhammer 40,000: Dawn of War - Game of the Year Edition",128.68,-2.5,333,38.6426%
GRAV,2.46,0.53,9,27.3333%
Tiny and Big: Grandpa's Leftovers,1.45,-1.13,5,29%
Hexcells,11.75,1.48,36,32.6389%
Tactical Monsters Rumble Arena,127.35,0.08,191,66.6754%
Eternal Card Game,303.8,-28.62,457,66.477%
World of Goo,13,-1.99,31,41.9355%
Tricky Towers,133.81,-63.44,390,34.3103%
The Cat Lady,5.87,-2.04,15,39.1333%
Overlord,43.59,-3.91,97,44.9381%
Rec Room,1178.93,-123.18,2068,57.0082%
Resident Evil 7 Teaser: Beginning Hour,11.59,-0.9,27,42.9259%
Endless Sky,83.53,0.91,148,56.4392%
Day of Defeat,112.93,-4.11,211,53.5213%
The Legend of Heroes: Trails in the Sky,130.65,-33.6,253,51.6403%
Jet Set Radio,24.54,1.54,55,44.6182%
140,2.39,-0.59,8,29.875%
Gothic,138.24,-13.37,305,45.3246%
Total War Saga: Thrones of Britannia,571.53,-106.62,1090,52.4339%
The Final Station,14.26,-3.27,43,33.1628%
RPG Maker VX Ace,214.5,-4.28,277,77.4368%
"Warhammer 40,000: Inquisitor - Martyr",335.08,-152.32,762,43.9738%
FAR: Lone Sails,17.54,2.75,67,26.1791%
GORN,63.7,-21.42,171,37.2515%
Confess My Love,2.46,-0.05,10,24.6%
One Way Heroics,17.23,-1.73,34,50.6765%
WILL: A Wonderful World,13.06,3.58,40,32.65%
Car Mechanic Simulator 2014,9.84,2.21,41,24%
House Party,232.71,-59.91,486,47.8827%
Team Fortress Classic,68.31,-10.77,143,47.7692%
Space Rangers HD: A War Apart,150.86,5.97,293,51.4881%
Defense Grid: The Awakening,73.45,-5.12,122,60.2049%
Death Road to Canada,52.14,-7.43,103,50.6214%
Darksiders III,128.89,-50.61,290,44.4448%
Anomaly Warzone Earth,5.01,1.32,16,31.3125%
Hearts of Iron III,116.71,1.9,208,56.1106%
Wargame: AirLand Battle,49.08,0.25,100,49.08%
Caster,3.01,0.91,23,13.087%
F.E.A.R. 2: Project Origin,39.15,-4.88,94,41.6489%
Floating Point,5.91,0.26,14,42.2143%
There's Poop In My Soup,3.85,-1.37,10,38.5%
Heat Signature,46.12,-34.22,92,50.1304%
Danganronpa V3: Killing Harmony,642.58,-136.38,935,68.7251%
Medieval Engineers,65.68,-11.6,131,50.1374%
"Gremlins, Inc.",161.31,-3.11,535,30.1514%
Hard Reset,4.53,-1.29,15,30.2%
The Surge,56.94,-12.79,115,49.513%
Ni no Kuni II: Revenant Kingdom,337.18,-84.19,692,48.7254%
HunieCam Studio,90.96,12.81,169,53.8225%
Mad Games Tycoon,48.27,-2.13,102,47.3235%
Medal of Honor(TM) Single Player,32.89,-23.22,106,31.0283%
Mount & Blade,95.33,1.32,155,61.5032%
Sniper Elite: Nazi Zombie Army,9.67,-1.34,28,34.5357%
Overgrowth,30.81,-9.19,54,57.0556%
Touhou Luna Nights,62.7,-17.23,166,37.7711%
DuckTales Remastered,18.36,-2.88,54,34%
Savage Lands,7.72,-1,23,33.5652%
Arma: Cold War Assault,22.26,1.95,56,39.75%
ArcheAge,78.35,5.88,129,60.7364%
12 is Better Than 6,5.24,-0.7,13,40.3077%
LUFTRAUSERS,4.62,0,15,30.8%
Gold Rush: The Game,478.62,-29.45,979,48.8887%
Arizona Sunshine,124.34,-14.56,310,40.1097%
Blameless,3.36,0.17,9,37.3333%
Crazy Machines 3,20.78,-8.14,49,42.4082%
Robot Roller-Derby Disco Dodgeball,7.43,-0.62,33,22.5152%
Turmoil,232.02,4.24,488,47.5451%
Card Hunter,86.8,-4.02,147,59.0476%
We Happy Few,200.27,-10.8,647,30.9536%
Blade Symphony,2.39,0.58,14,17.0714%
King Arthur's Gold,41.08,2.05,131,31.3588%
ibb & obb,68.38,26.94,387,17.6693%
Cortex Command,19.24,-0.78,42,45.8095%
Alpha Protocol,6.75,-0.29,18,37.5%
Teeworlds,36.22,-1.03,95,38.1263%
Far Cry,65.13,-21.04,152,42.8487%
Axiom Verge,22.91,-4.09,60,38.1833%
Plug & Play,1.73,0.24,5,34.6%
Steel Division: Normandy 44,116.67,-0.67,235,49.6468%
Counter-Strike: Global Offensive,743209.66,25405.91,1124553,66.0893%
Dota 2,432671.65,10119.33,694613,62.2896%
PLAYERUNKNOWN'S BATTLEGROUNDS,201247.19,12013.61,451998,44.5239%
Apex Legends,71766.74,7296.99,129928,55.2358%
Rust,142117.25,80945.6,244394,58.1509%
Team Fortress 2,83148.17,724.66,111102,74.8395%
Grand Theft Auto V,101250.59,-5663.68,184941,54.7475%
Tom Clancy's Rainbow Six Siege,77717.42,6995.92,123637,62.8594%
Rocket League,59449.16,-6315.92,112482,52.8522%
Path of Exile,47685.61,34987.98,157091,30.3554%
Football Manager 2021,55982.74,4415.95,93775,59.699%
ARK: Survival Evolved,63160.05,6836,92006,68.6478%
Destiny 2,44864.92,-22135.76,79290,56.5833%
Sid Meier's Civilization VI,36731.49,3914.54,65951,55.6951%
PAYDAY 2,29201.19,-841.71,54841,53.247%
Wallpaper Engine,44647.85,4077.52,65041,68.6457%
Warframe,36124.14,134.09,60019,60.1878%
Euro Truck Simulator 2,24090.05,138.39,51312,46.9482%
Stardew Valley,57166.55,27545.84,94479,60.5071%
Garry's Mod,28054.43,3691.88,46668,60.1149%
Dead by Daylight,36342.49,710.31,53583,67.8247%
Dyson Sphere Program,25524.93,NA,59339,43.0154%
War Thunder,27477.69,441.49,39887,68.8888%
Cyberpunk 2077,82146.66,-250248.99,225670,36.4012%
Total War: WARHAMMER II,24622.4,-3376.01,38565,63.8465%
DayZ,26336.03,3524.05,45236,58.2192%
Farming Simulator 19,18998.34,981.63,37332,50.8902%
Hearts of Iron IV,24820.66,2069.94,38745,64.0616%
World of Tanks Blitz,19491.54,-2851.78,42806,45.5346%
The Elder Scrolls Online,19150.22,1345.58,33069,57.9099%
Age of Empires II: Definitive Edition,19509.7,3001.1,38725,50.3801%
Brawlhalla,16032.66,-391.86,28076,57.1045%
Unturned,22042.28,2856.68,30006,73.4596%
Spacewar,16676.54,3010.28,29117,57.2742%
7 Days to Die,25366.69,3925.06,39581,64.088%
Football Manager 2020,18132.1,-2346.22,29457,61.5545%
SMITE,14784.05,2588.78,31169,47.4319%
Sid Meier's Civilization V,19655.26,502.85,31565,62.2692%
FINAL FANTASY XIV Online,16917.22,2166.13,24876,68.0062%
RimWorld,18661.34,4384.21,26982,69.1622%
Sea of Thieves,21555.18,8304.96,52916,40.7347%
Europa Universalis IV,16484.33,1841.42,26680,61.7853%
Counter-Strike,13094.31,854.78,23762,55.1061%
Arma 3,14895.53,1894.8,29006,51.3533%
EA SPORTS FIFA 21,17855.48,1459.31,33040,54.042%
Black Desert Online,17367.16,3216.49,23806,72.9529%
NBA 2K20,9679.62,166.83,17680,54.749%
NBA 2K21,10441.62,1929.64,17652,59.1526%
tModLoader,11856.29,2628.09,17776,66.6983%
Bloons TD 6,19866.81,7580.17,43590,45.5765%
Factorio,11852.97,1038.59,21942,54.0196%
Dead Cells,2890.31,1212.87,10451,27.6558%
DARK SOULS III,13351.35,372.36,21667,61.6207%
Fallout 4,15083.94,624.58,23877,63.1735%
VRChat,14910.12,2166.03,26251,56.7983%
eFootball PES 2021 SEASON UPDATE,10662.93,1108.76,19037,56.0116%
Gunfire Reborn,3851.43,1162.82,15151,25.4203%
Stellaris,13644.48,1850.17,22020,61.964%
World of Warships,8055,693.87,14059,57.2943%
Skul: The Hero Slayer,4038.7,3832.27,18876,21.396%
Paladins,10025.56,1272.79,17456,57.4333%
Albion Online,7280.04,186.6,12394,58.7384%
Fall Guys: Ultimate Knockout,10945.21,-2424.56,20457,53.5035%
Yu-Gi-Oh! Duel Links,9546.31,1914.75,13780,69.2766%
Soundpad,9416.89,1524.19,13883,67.8304%
Phasmophobia,20104.56,-1893.48,42360,47.4612%
Mount & Blade II: Bannerlord,13377.37,3543.27,20790,64.3452%
Assassin's Creed Odyssey,7677.35,-132.14,14723,52.1453%
Red Dead Online,9499.39,-1824.73,15859,59.899%
Total War: THREE KINGDOMS,8047.03,2105.47,15212,52.8992%
The Forest,13559.27,2997.37,32817,41.3178%
Crusader Kings III,12651.96,-63.15,22816,55.4521%
Hades,18775.48,1173.04,35048,53.5708%
Deep Rock Galactic,7205.41,1193.3,14077,51.1857%
Green Hell,3032.6,1260.43,13035,23.2651%
<U+4FE0><U+4E4B><U+9053>(PathOfWuxia),174.46,123.94,905,19.2773%
The Binding of Isaac: Rebirth,7756.14,1611.11,12679,61.1731%
Raft,12998.21,1684.45,30747,42.2747%
Oxygen Not Included,9262.87,-957.13,16919,54.7483%
Conqueror's Blade,3948.67,543.2,10704,36.8897%
Conan Exiles,9684.96,2481.31,15949,60.7246%
Human: Fall Flat,4465.97,55.81,14859,30.0557%
Hunt: Showdown,7484.3,280.24,15265,49.0292%
The Sims 4,11632.53,2625.07,25297,45.9838%
Satisfactory,10306.14,958.73,19316,53.3555%
Home Behind 2,8916.5,NA,20036,44.5024%
Dying Light,6360.94,-839.89,13411,47.4308%
NGU IDLE,6595.37,186.26,8012,82.3186%
Geometry Dash,6264.65,351.31,9322,67.2029%
SCUM,5693.44,1723.91,10402,54.7341%
Aim Lab,5693.65,797.82,7644,74.4852%
STAR WARS: The Old Republic,7806.55,1740.27,13143,59.397%
Company of Heroes 2,6098.3,306.64,10364,58.8412%
Russian Fishing 4,4303.58,531.59,7724,55.717%
<U+96C0><U+9B42><U+9EBB><U+5C06>(MahjongSoul),3128.67,1716.31,8827,35.4443%
Fallout 76,7376.66,332.3,11777,62.6362%
Phantasy Star Online 2,5256.29,-450.15,8467,62.0797%
Mount & Blade: Warband,5057.01,360.1,8125,62.2401%
SCP: Secret Laboratory,4433.34,823.83,6929,63.9824%
RuneScape,5998.22,386.74,8839,67.8608%
Total War: ROME II - Emperor Edition,6162.97,361.94,10547,58.4334%
Squad,5999.86,-115.46,10045,59.7298%
Hollow Knight,6291.04,1256.82,9879,63.6809%
Grim Dawn,5528.6,1138.65,10514,52.5832%
BeamNG.drive,5370.45,448.88,8485,63.2935%
Killing Floor 2,3377.5,-511.56,5101,66.2125%
Shop Titans,4699.81,226.4,6616,71.037%
Black Desert,4715.57,269.03,7047,66.916%
Warhammer: Vermintide 2,5105.16,1411.41,9314,54.8117%
Prison Architect,2209.61,839.07,11036,20.0218%
Planet Zoo,4803.62,-988.53,11634,41.2895%
Borderlands 3,7676.75,-863.72,16501,46.5229%
Kerbal Space Program,4329.88,94.07,7031,61.5827%
Dota Underlords,4302.07,18.5,6337,67.8881%
Total War: MEDIEVAL II - Definitive Edition,3597.9,256.44,6120,58.7892%
MORDHAU,3911.97,501.39,6674,58.6151%
Clicker Heroes,3367.92,684.04,4766,70.6655%
theHunter: Call of the Wild,5395.05,-48.47,11523,46.8198%
Hell Let Loose,3789.56,810.33,7002,54.1211%
Leaf Blower Revolution - Idle Game,4055.44,-488.9,5750,70.5294%
AdVenture Capitalist,2610.78,774.68,4406,59.2551%
Starbound,3308.5,923.71,8734,37.8807%
Crossout,2744.35,52.23,5065,54.1826%
Warface,3396.96,-236.36,5817,58.3971%
For Honor,3283.56,66.7,5163,63.5979%
Crusader Kings II,3372.53,29.1,5385,62.6282%
House Flipper,2971.76,464.26,6094,48.7653%
XCOM 2,3912.36,264.93,6656,58.7794%
Lords Mobile,3765.35,228.79,5587,67.3948%
Blender,3270.67,476.27,4567,71.6153%
Ori and the Will of the Wisps,2453.34,391.48,17448,14.0609%
STAR WARS Battlefront II,5150.48,1620.01,10345,49.7871%
Far Cry 5,5499.41,1118.55,11476,47.921%
The Isle,3143.55,429.36,4960,63.378%
Assetto Corsa Competizione,2046.19,160.91,5205,39.312%
Age of Empires III: Definitive Edition,3561.95,85.29,7115,50.0625%
Borderlands 2,3570.17,4.3,6809,52.4331%
Kenshi,3552.51,602.59,4748,74.8212%
Heroes & Generals,2745.19,136.43,4686,58.5828%
Eco,1821.28,755.56,4935,36.9054%
People Playground,2890.74,252.27,4552,63.5048%
Shakes and Fidget,2470.03,23.4,4419,55.8957%
Subnautica,4079.69,1063.35,6876,59.3323%
Insurgency: Sandstorm,2795.04,-120.84,4574,61.1071%
Total War: EMPIRE - Definitive Edition,2654.4,150.4,4581,57.9437%
The Sims(TM) 3,2832.78,160.98,3984,71.1039%
Transformice,2204.71,551.59,4104,53.721%
Total War: ATTILA,2691.09,327.28,4464,60.2843%
Transport Fever 2,2855.81,437.58,5783,49.3828%
eFootball PES 2020,2758.23,-948.35,5064,54.4674%
Darkest Dungeon®,3946.09,746.59,6314,62.4975%
Total War: SHOGUN 2,2826.66,192.69,4389,64.4033%
Horizon Zero Dawn,3981.39,1404.89,8991,44.2819%
HITMAN 2,3128.79,1037.39,5444,57.4723%
Need for Speed Heat,3411.18,1262.94,6306,54.0942%
Portal 2,3386.24,98.29,7210,46.9659%
YoloMouse,2208.94,478.39,3281,67.3252%
Kingdom Come: Deliverance,3137.46,651.28,6169,50.8585%
They Are Billions,3027.55,153.06,5070,59.715%
Totally Accurate Battle Simulator,3170.7,-1262.55,5028,63.0609%
ATLAS,2894.59,504.73,5266,54.9675%
Assassin's Creed Origins,2396.38,-33.99,5591,42.8614%
STAR WARS Jedi: Fallen Order,2944.99,-315.06,6608,44.567%
Battlefield V,3132.8,574.9,7152,43.8031%
Fishing Planet,1745.1,201.65,3073,56.7882%
DiRT Rally 2.0,1547.84,65.88,3238,47.8023%
Mortal Kombat 11,2276.38,-213.97,4593,49.5619%
Middle-earth: Shadow of War,2889.89,-133.09,5803,49.7999%
Medieval Dynasty,2839.95,209.66,7063,40.2088%
Soundpad Demo,1590.45,349.25,3033,52.4382%
DOOM Eternal,3391.71,-1016.34,7733,43.8602%
Mr.Mine,1988.76,-133.59,3062,64.9497%
Star Trek Online,1398.6,258.85,4307,32.4727%
Catan Universe,2323.87,611.4,4933,47.1087%
Men of War: Assault Squad 2,1848.16,116.67,2988,61.8527%
Trove,1787.33,85.28,2569,69.573%
Football Manager 2018,1997.15,-34.57,3324,60.0827%
DARK SOULS II: Scholar of the First Sin,2663.3,-42.46,4324,61.5934%
DRAGON BALL FighterZ,3101.98,967.34,7366,42.1121%
Gems of War,1734.72,21.84,2568,67.5514%
Aseprite,1959.81,340.13,2528,77.5241%
The Crew 2,2694.32,138.52,5583,48.2594%
CarX Drift Racing Online,1851.73,533.18,3197,57.9209%
Beat Saber,2125.97,422.27,3991,53.2691%
Battlefield 1 ,2741.42,591,6859,39.9682%
KovaaK 2.0,1798.29,227.67,2471,72.7758%
Neverwinter,1747.99,123.56,3167,55.1939%
Will To Live Online,1716.08,88.01,2878,59.6275%
Street Fighter V,2275.2,157.21,3459,65.7762%
DARK SOULS: REMASTERED,2031.61,101.85,3174,64.0079%
PlanetSide 2,1893.29,54.25,3314,57.1301%
Planet Coaster,2221.31,160.39,4734,46.9225%
Pathfinder: Kingmaker,1815.3,340.74,3254,55.7867%
The Long Dark,2473.74,-655.75,4448,55.6147%
Disco Elysium,1366.72,510.63,5592,24.4406%
Stormworks: Build and Rescue,1633.99,414.06,3877,42.1457%
Knight Online,1784.95,111.42,2952,60.4658%
Project Zomboid,2044.64,100.09,3217,63.5574%
Noita,2427.38,425.06,3780,64.2164%
Northgard,2125.78,43.97,5041,42.1698%
Realm of the Mad God Exalt,2071.37,-157.91,3439,60.2318%
Persona 4 Golden,3001.5,589.17,4592,65.3637%
X-Plane 11,1662.05,179.04,2674,62.1559%
RISK: Global Domination,1855.56,152.39,4357,42.588%
METAL GEAR SOLID V: THE PHANTOM PAIN,2207.35,217.4,3461,63.7778%
Jurassic World Evolution,3435.48,-388.88,9946,34.5413%
BATTLETECH,2189.5,97.09,3688,59.3682%
theHunter Classic,1281.06,-41.93,2573,49.7886%
ASTRONEER,2450.39,53.7,4985,49.1553%
Microsoft Flight Simulator X: Steam Edition,1621.93,48.42,2601,62.3579%
EVGA Precision X1,1823.83,41.05,2326,78.4106%
Robocraft,492.32,67.47,845,58.2627%
Don't Starve,2646.02,287.64,4704,56.2504%
Firestone Idle RPG,1845.14,-40.35,2293,80.4684%
Age of Mythology: Extended Edition,1987.33,172.96,4329,45.9074%
BLEACH Brave Souls - 3D Action,1762.65,284.5,3217,54.7917%
Train Simulator,1388.59,112.23,2950,47.0708%
Call of Duty: Black Ops III,2002.62,-30.44,3695,54.1981%
Subnautica: Below Zero,2047.97,314.41,3338,61.3532%
Heroes of Might & Magic III - HD Edition,1447.97,117.01,3016,48.0096%
Total War: NAPOLEON - Definitive Edition,1428.79,72.38,2555,55.9213%
<U+4E09><U+56FD><U+7FA4><U+82F1><U+4F20>8 Heroes of the Three Kingdoms 8,6851.13,NA,21252,32.2376%
Foundation,557.06,22.68,1406,39.6202%
Yakuza 0,2455.12,829.97,3849,63.7859%
Black Squad,1639.6,-117.22,2484,66.0064%
Shadowverse,3924.4,619.73,9644,40.6927%
DEATH STRANDING,3432.92,-804.71,7979,43.0244%
Black Desert Online SA,1917.46,94.6,3286,58.3524%
State of Decay 2,2991.85,1059.97,7272,41.1421%
ROMANCE OF THE THREE KINGDOMS XIV,3088.35,739.49,6630,46.5814%
Melvor Idle,1702.11,417.65,2012,84.5979%
Company of Heroes,1593.25,112.49,2888,55.1679%
Grand Theft Auto IV: The Complete Edition,2017.89,380.33,4034,50.0221%
Football Manager 2017,1487.33,30.85,2446,60.8066%
Super Animal Royale,1239.09,182.14,2831,43.7686%
Sniper Elite 4,2093.11,27.08,5295,39.5299%
Granado Espada,1735.28,268.72,2036,85.2299%
Tom Clancy's Ghost Recon® Wildlands,2243.59,759.93,5138,43.6666%
DEAD OR ALIVE Xtreme Venus Vacation,2373.6,40.61,7937,29.9055%
Rome: Total War,1301.1,29.58,2247,57.9039%
Tree of Savior (English Ver.),1768.89,227.49,2227,79.4293%
Beasts of Bermuda,1396.56,201.83,2429,57.4953%
FaceRig,1869.95,83.72,3515,53.1991%
Endless Space® 2,1831.15,708.74,5099,35.9119%
Battlefield 4,1552.1,66.59,3382,45.893%
Baldur's Gate 3,2212.57,-458.03,4138,53.4696%
Assassin's Creed IV Black Flag,1322.72,96.22,2899,45.6268%
For The King,1299.06,361.51,3752,34.6231%
Stay Out,1090.76,51.71,2017,54.0783%
March of Empires,1283.31,25.62,1998,64.2297%
Plants vs. Zombies: Game of the Year,2401.89,367.26,4193,57.2833%
Plague Inc: Evolved,638.22,245.9,3510,18.1829%
Total War: WARHAMMER,977.17,-11.85,1907,51.2412%
Amazing Cultivation Simulator,2479.25,-747.41,4929,50.2992%
Grounded,1230.21,387.93,2934,41.9294%
Workers & Resources: Soviet Republic,1412.22,301.02,2549,55.4029%
X4: Foundations,1444.22,206.05,2378,60.7325%
Stronghold Crusader HD,1216.87,52.89,2574,47.2754%
Sid Meier's Civilization IV: Beyond the Sword,1387.9,33.52,2245,61.8218%
Frostpunk,2030.94,-26.77,4583,44.3146%
Tomb Raider,1476.1,-50.75,3192,46.2437%
MapleStory,2519.12,24.8,3849,65.4487%
Craftopia,968.74,207.63,1988,48.7294%
Nioh: Complete Edition,1068.58,-102.95,2171,49.2206%
NBA 2K19,934.79,-224.19,1844,50.6936%
Command & Conquer Remastered Collection,1429.68,57.25,3296,43.3762%
Onmyoji,1140.5,-136.34,2246,50.7792%
Football Manager 2021 Touch,1060.7,168.46,1951,54.367%
Titan Quest Anniversary Edition,1159.98,168.42,2310,50.2156%
Assassin's Creed Unity,732.93,137.8,3073,23.8506%
DRAGON BALL Z: KAKAROT,1134.43,-121.52,2633,43.0851%
Dragon Age Inquisition,1674.14,67.46,3637,46.0308%
Brick Rigs,836.25,73.87,1621,51.5885%
Resident Evil 7 Biohazard,1058.64,546.41,3565,29.6954%
Two Point Hospital,1333.76,77.19,3269,40.8002%
Spellbreak,2212.34,-238.77,5447,40.6158%
Sid Meier's Civilization III: Complete,1273.88,33.25,2104,60.5456%
DCS World Steam Edition,1115.14,42.64,1942,57.4222%
Mafia: Definitive Edition,873.5,36.79,2474,35.3072%
Last Oasis,1836.79,-553.2,3237,56.7436%
My Summer Car,870.02,192.89,1652,52.6646%
Banished,1169.08,20.51,1924,60.763%
XCOM: Enemy Unknown,822.33,12.23,1430,57.5056%
OMSI 2,876.27,-73.08,1730,50.6514%
The Elder Scrolls IV: Oblivion,1369.92,216.43,2439,56.1673%
A Dance of Fire and Ice,1094.09,216.7,2202,49.6862%
Crusaders of the Lost Idols,1380.98,28.47,1771,77.9774%
Farming Simulator 17,1030.83,-16.68,2057,50.1133%
Barotrauma,906.57,-153.98,2035,44.5489%
Spore,1011.64,-193.49,2017,50.1557%
Insurgency,898.38,-24.03,1596,56.2895%
Enter the Gungeon,1369.98,215.84,1982,69.1211%
Minion Masters,915.34,-106.1,1392,65.7572%
Source Filmmaker,1314.01,50.16,1792,73.3265%
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,1426.87,-164.84,3305,43.1731%
The Lord of the Rings Online,1014.93,63.64,1858,54.6249%
Tropico 6,1227.48,117.37,2633,46.6191%
Realm Grinder,1247.26,203.2,1665,74.9105%
Blood of Steel,924.31,-236.03,1703,54.2754%
Realm Royale,1024.71,120.93,1765,58.0572%
Victoria II,1174.44,-5.56,2276,51.6011%
BioShock Remastered,434.52,-1.97,914,47.5405%
Undertale,1403.86,355.45,2682,52.3438%
DOOM,1400.26,-366.74,3133,44.6939%
Just Cause 3,1191.39,-99.02,2228,53.4735%
Naval Action,857.6,164.18,1615,53.1022%
Age of Empires: Definitive Edition,1116.51,102.08,2369,47.13%
Age of History II,829.24,17.46,1336,62.0689%
Football Manager 2016,917.13,37.01,1620,56.613%
