gamename,avg,gain,peak,avg_peak_perc
Planet Zoo,3954.26,-849.36,7968,49.6268%
Borderlands 3,8338.27,661.52,15911,52.4057%
Kerbal Space Program,3983.43,-346.45,6519,61.1049%
Dota Underlords,4170.2,-131.87,6114,68.2074%
Total War: MEDIEVAL II - Definitive Edition,3445.92,-151.98,6045,57.0045%
MORDHAU,3500.64,-411.32,5642,62.0461%
Clicker Heroes,3475.86,107.94,4808,72.2933%
theHunter: Call of the Wild,3741.87,-1653.19,7127,52.5027%
Hell Let Loose,3747.24,-42.33,6740,55.597%
Leaf Blower Revolution - Idle Game,3482.46,-572.98,4671,74.5549%
AdVenture Capitalist,2377.82,-232.96,4546,52.3058%
Starbound,3238.53,-69.97,6443,50.2643%
Crossout,3256.31,511.96,6366,51.1516%
Warface,3101.01,-295.94,5194,59.7037%
For Honor,3364.48,80.92,5230,64.3304%
Crusader Kings II,3347.82,-24.7,5272,63.5019%
House Flipper,2905.33,-66.43,5490,52.9204%
XCOM 2,7246.61,3334.25,13491,53.7144%
Lords Mobile,3736.38,-28.96,6216,60.1091%
Blender,3406.65,135.99,4705,72.4049%
Ori and the Will of the Wisps,4060.64,1607.29,16964,23.9368%
STAR WARS Battlefront II,2906.59,-2243.88,5364,54.187%
Far Cry 5,3396.95,-2102.46,6521,52.0925%
The Isle,3208.93,65.38,4844,66.2455%
Assetto Corsa Competizione,2114.53,68.33,6167,34.2878%
Age of Empires III: Definitive Edition,3017.18,-544.77,5466,55.199%
Borderlands 2,4365.29,795.11,7971,54.7646%
Kenshi,3988.5,436,5341,74.677%
Heroes & Generals,2637.36,-107.83,4558,57.8622%
Eco,2954.61,1133.33,5100,57.9335%
People Playground,3022.44,131.69,5174,58.4159%
Shakes and Fidget,2491.64,21.61,4017,62.0274%
Subnautica,3039.09,-1040.61,4937,61.5574%
Insurgency: Sandstorm,4377.81,1582.77,12611,34.7142%
Total War: EMPIRE - Definitive Edition,2646.28,-8.11,4713,56.1485%
The Sims(TM) 3,2802.92,-29.87,4345,64.5091%
Transformice,2156.97,-47.74,3779,57.0778%
Total War: ATTILA,2453.03,-238.06,4108,59.7135%
Transport Fever 2,2584.82,-270.99,5694,45.3955%
eFootball PES 2020,2307.41,-450.82,4328,53.3135%
Darkest Dungeon®,3389.51,-556.57,5821,58.229%
Total War: SHOGUN 2,2861.23,34.57,6146,46.5543%
Horizon Zero Dawn,2405.24,-1576.15,5032,47.7989%
HITMAN 2,2471.92,-656.86,4427,55.8374%
Need for Speed Heat,2510.89,-900.28,4368,57.4837%
Portal 2,2385.76,-1000.48,4451,53.6005%
YoloMouse,2751.66,542.73,3669,74.9975%
Kingdom Come: Deliverance,2786.54,-350.93,5347,52.1141%
They Are Billions,2670.04,-357.51,4431,60.2582%
Totally Accurate Battle Simulator,2585.85,-584.85,3814,67.7989%
ATLAS,2188.33,-706.26,4202,52.0783%
Assassin's Creed Origins,2226.53,-169.85,4831,46.0884%
STAR WARS Jedi: Fallen Order,3040.63,95.63,5543,54.8553%
Battlefield V,6668.92,3536.12,18721,35.6227%
Fishing Planet,1829.05,83.95,3144,58.1759%
DiRT Rally 2.0,1571.82,23.98,3243,48.4681%
Mortal Kombat 11,1992.87,-283.51,3528,56.4872%
Middle-earth: Shadow of War,2407.1,-482.79,4408,54.6075%
Medieval Dynasty,1805.9,-1034.05,4000,45.1475%
Soundpad Demo,1685.96,95.51,2899,58.1566%
DOOM Eternal,2269.47,-1122.23,4478,50.6804%
Mr.Mine,2088.95,100.2,2804,74.4989%
Star Trek Online,1849.9,451.3,3113,59.425%
Catan Universe,2094.07,-229.8,4510,46.4317%
Men of War: Assault Squad 2,1841.93,-6.23,3135,58.7537%
Trove,1845.99,58.66,2744,67.2737%
Football Manager 2018,1878.01,-119.14,3191,58.8533%
DARK SOULS II: Scholar of the First Sin,2265.93,-397.37,3564,63.5783%
DRAGON BALL FighterZ,2166.31,-935.67,3886,55.7465%
Gems of War,1745.35,10.63,2569,67.9389%
Aseprite,2045.94,86.13,2563,79.826%
The Crew 2,1984.61,-709.71,4162,47.684%
CarX Drift Racing Online,1913.18,61.44,4403,43.4517%
Beat Saber,1865.17,-260.79,3268,57.0737%
Battlefield 1 ,5267.95,2526.53,13941,37.7875%
KovaaK 2.0,1871.93,73.63,2656,70.4793%
Neverwinter,1778.75,30.76,3213,55.361%
Will To Live Online,1743.3,27.22,3094,56.3445%
Street Fighter V,3044.38,769.18,8140,37.4002%
DARK SOULS: REMASTERED,1898.17,-133.44,2933,64.7177%
PlanetSide 2,1979.26,85.97,3101,63.8265%
Planet Coaster,2060.37,-160.95,3662,56.2635%
Pathfinder: Kingmaker,2108.55,293.26,3786,55.6933%
The Long Dark,1872.53,-601.21,3084,60.7176%
Disco Elysium,1477.37,110.65,4296,34.3894%
Stormworks: Build and Rescue,1621.33,-12.66,2950,54.9603%
Knight Online,1905.4,120.45,3154,60.4122%
Project Zomboid,1792.99,-251.65,2881,62.235%
Noita,2370.32,-57.07,4344,54.5654%
Northgard,2349.38,223.6,6004,39.1302%
Realm of the Mad God Exalt,1904.6,-166.77,2709,70.3064%
Persona 4 Golden,2460.34,-541.16,3505,70.1951%
X-Plane 11,1626.15,-35.89,2656,61.2255%
RISK: Global Domination,1735.79,-119.77,3998,43.4165%
METAL GEAR SOLID V: THE PHANTOM PAIN,1977.99,-229.36,3040,65.0655%
Jurassic World Evolution,2006.15,-1429.33,3962,50.6348%
BATTLETECH,1927.71,-261.79,3141,61.3725%
theHunter Classic,1286.52,5.46,2382,54.0101%
ASTRONEER,1878.86,-571.53,4011,46.8427%
Microsoft Flight Simulator X: Steam Edition,1552.64,-69.29,2615,59.3744%
EVGA Precision X1,1990.02,166.19,2581,77.1027%
Robocraft,491.72,-0.6,804,61.1592%
Don't Starve,2704.15,58.14,4684,57.7316%
Firestone Idle RPG,1738.7,-106.43,2184,79.6108%
Age of Mythology: Extended Edition,1785.05,-202.28,3534,50.5108%
BLEACH Brave Souls - 3D Action,1229.25,-533.41,2073,59.2981%
Train Simulator,1348.19,-40.4,2964,45.4855%
Call of Duty: Black Ops III,2169.51,166.89,4882,44.439%
Subnautica: Below Zero,1652.81,-395.17,4886,33.8275%
Heroes of Might & Magic III - HD Edition,1417.65,-30.31,2732,51.8906%
Total War: NAPOLEON - Definitive Edition,1439.17,10.39,2571,55.9771%
<U+4E09><U+56FD><U+7FA4><U+82F1><U+4F20>8 Heroes of the Three Kingdoms 8,2124.3,-4726.83,5963,35.6247%
Foundation,823.81,266.75,2043,40.3235%
Yakuza 0,1587.58,-867.55,2482,63.9637%
Black Squad,1439.02,-200.58,2320,62.0267%
Shadowverse,2707.37,-1217.02,7808,34.6743%
